frame,left_elbow_angle,right_elbow_angle,left_elbow_angle_smoothed,right_elbow_angle_smoothed
0,117.62839729231823,164.58523514664898,118.9619282108349,164.91754098531294
1,104.74586058406524,166.3594163906776,106.13295747312877,166.51160882375333
2,92.67309270598398,167.14536389671505,94.04259571004437,167.8285354928516
3,85.7147575440647,169.1673130145541,82.69084292158166,168.86832099260772
4,75.90393796653593,173.15499814476038,72.0776991077407,169.63096532302168
5,69.07503667439487,169.53336328772798,62.20316426852152,170.1164684840939
6,50.946128709884384,168.49650143971655,52.099515695474196,170.04167726137035
7,36.63883078650139,169.26457072367623,43.15907014868702,169.83202373646662
8,32.50709338558167,170.10776909061477,35.35091951691825,169.19919509768488
9,29.96807372208214,169.0160989754522,29.694173364949883,168.9756951582084
10,29.05709118651695,169.20775890066608,26.24613870492399,169.66348506426596
11,26.627902820815677,169.7437700521735,25.4915174972556,170.1031914378617
12,24.522166894189766,169.6168941524454,25.287139526037905,170.32747882206723
13,24.217277780029228,172.03957220771855,24.725934803589418,170.55593072265737
14,24.801343903799808,171.20848175133438,24.116671211716017,170.9246386364195
15,24.673980840766188,170.61700752843646,24.131331209036567,171.0306900407159
16,25.355421916038214,170.50038237183603,23.301073149406914,177.93864199658464
17,25.764786632815063,170.5483895277993,24.371087027898916,171.8147989324714
18,26.566875810794617,170.46143890844348,27.796910217622184,160.59993642819808
19,31.575844294588464,169.65077548727626,34.340363990713094,152.78178779933728
20,34.20195277354231,168.9272175769765,43.67839602346291,147.30368288217375
21,57.40404845175294,84.51308541871123,53.81833916778002,144.11515453679021
22,70.23665556787843,132.17401225464678,65.27152231380138,143.25405990154175
23,82.23896109218563,167.60198692054317,77.4800932797159,144.99863304765915
24,88.8023532853916,162.8211094192944,88.88668666233292,149.55365308280363
25,93.08383680683787,161.3652936966184,99.51760902132298,156.8811980029729
26,107.77905510574716,160.3569091120137,107.50621780668517,167.15869177120763
27,117.59711723911215,160.50350515047458,115.621928281446,163.21985724448416
28,123.7933838340939,160.5733315945251,123.15838057515467,160.55572985870296
29,132.4027458199689,160.81260338837535,130.64038601479666,162.09209178298667
30,136.31243049058568,162.58733891972645,137.25129460618274,163.7626719989902
31,140.97515557905177,165.90290925885756,142.37873348941383,164.99213799089966
32,146.12370026326693,167.03221305796657,147.25693353379427,165.9236154750242
33,152.14706792225877,167.25372047720995,151.4941365032797,166.06615796786923
34,155.87246294112256,165.09682800150972,154.75666310083525,164.79227949253084
35,159.15592034226455,161.28398634000294,157.85467807694954,162.52663244329054
36,159.46980343471097,160.02989323337513,159.94993776352607,158.8810390566237
37,159.97952873001748,154.43203124587416,161.23859142242742,155.34320604767686
38,161.558982737481,149.15707190597706,161.83109762887878,151.09077171651404
